2020-04-26 12:04:993 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-26 12:04:128 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-26 12:04:963 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-26 12:04:375 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-26 12:04:914 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-26 13:04:849 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-26 13:04:493 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-26 13:04:486 INFO  HomePage :42 - Clicking on close button : [[ChromeDriver: chrome on WINDOWS (cebd7b4072e5260463f0747f00060c52)] -> xpath: //button[@class="modal__close js-modal-close"]]
2020-04-26 13:04:711 INFO  HomePage :31 - Clicking On Your Home Link[[ChromeDriver: chrome on WINDOWS (cebd7b4072e5260463f0747f00060c52)] -> xpath: //a[@class='header__nav-area-title'][contains(text(),'Your home')]]
2020-04-26 13:04:736 INFO  YourHomePage :23 - Getting text from : [[ChromeDriver: chrome on WINDOWS (cebd7b4072e5260463f0747f00060c52)] -> xpath: //h1[contains(text(),'Your home')]]
2020-04-26 13:04:966 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-26 13:04:982 INFO  HomePage :42 - Clicking on close button : [[ChromeDriver: chrome on WINDOWS (eff1a43749a33d0465fcbbaecdb4dbaa)] -> xpath: //button[@class="modal__close js-modal-close"]]
2020-04-26 13:04:52 INFO  HomePage :31 - Clicking On Your Home Link[[ChromeDriver: chrome on WINDOWS (eff1a43749a33d0465fcbbaecdb4dbaa)] -> xpath: //a[@class='header__nav-area-title'][contains(text(),'Your home')]]
2020-04-26 13:04:85 INFO  YourHomePage :23 - Getting text from : [[ChromeDriver: chrome on WINDOWS (eff1a43749a33d0465fcbbaecdb4dbaa)] -> xpath: //h1[contains(text(),'Your home')]]
2020-04-26 13:04:872 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-26 13:04:41 INFO  HomePage :40 - Clicking on close button : [[ChromeDriver: chrome on WINDOWS (35a234895e75123dec62f086251c23c1)] -> xpath: //button[@class="modal__close js-modal-close"]]
2020-04-26 13:04:716 INFO  HomePage :29 - Clicking On Your Home Link[[ChromeDriver: chrome on WINDOWS (35a234895e75123dec62f086251c23c1)] -> xpath: //a[@class='header__nav-area-title'][contains(text(),'Your home')]]
2020-04-26 13:04:803 INFO  YourHomePage :29 - Getting text from : [[ChromeDriver: chrome on WINDOWS (35a234895e75123dec62f086251c23c1)] -> xpath: //h1[contains(text(),'Your home')]]
2020-04-26 13:04:619 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-26 14:04:923 INFO  HomePage :40 - Clicking on close button : [[ChromeDriver: chrome on WINDOWS (47b30a5bd5364325c147771bc5754e20)] -> xpath: //button[@class="modal__close js-modal-close"]]
2020-04-26 14:04:660 INFO  HomePage :29 - Clicking On Your Home Link[[ChromeDriver: chrome on WINDOWS (47b30a5bd5364325c147771bc5754e20)] -> xpath: //a[@class='header__nav-area-title'][contains(text(),'Your home')]]
2020-04-26 14:04:118 INFO  YourHomePage :37 - Clicking On Your Tenancy Link :Proxy element for: DefaultElementLocator 'By.xpath: //h3[contains(text(),'Your tenancy')]'
2020-04-26 14:04:169 INFO  YourHomePage :44 - Getting text from : [[ChromeDriver: chrome on WINDOWS (47b30a5bd5364325c147771bc5754e20)] -> xpath: //h1[@class='inner-banner__title']]
2020-04-26 14:04:175 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-26 14:04:914 INFO  HomePage :40 - Clicking on close button : [[ChromeDriver: chrome on WINDOWS (996cf3722d406e4c3f51a2f3ba1e3a52)] -> xpath: //button[@class="modal__close js-modal-close"]]
2020-04-26 14:04:845 INFO  HomePage :29 - Clicking On Your Home Link[[ChromeDriver: chrome on WINDOWS (996cf3722d406e4c3f51a2f3ba1e3a52)] -> xpath: //a[@class='header__nav-area-title'][contains(text(),'Your home')]]
2020-04-26 14:04:237 INFO  YourHomePage :29 - Getting text from : [[ChromeDriver: chrome on WINDOWS (996cf3722d406e4c3f51a2f3ba1e3a52)] -> xpath: //h1[contains(text(),'Your home')]]
2020-04-26 14:04:36 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-26 14:04:154 INFO  HomePage :40 - Clicking on close button : [[ChromeDriver: chrome on WINDOWS (0935c7654f9eef5995c16310a3176af8)] -> xpath: //button[@class="modal__close js-modal-close"]]
2020-04-26 14:04:859 INFO  HomePage :29 - Clicking On Your Home Link[[ChromeDriver: chrome on WINDOWS (0935c7654f9eef5995c16310a3176af8)] -> xpath: //a[@class='header__nav-area-title'][contains(text(),'Your home')]]
2020-04-26 14:04:369 INFO  YourHomePage :37 - Clicking On Your Tenancy Link :Proxy element for: DefaultElementLocator 'By.xpath: //h3[contains(text(),'Your tenancy')]'
2020-04-26 14:04:418 INFO  YourHomePage :44 - Getting text from : [[ChromeDriver: chrome on WINDOWS (0935c7654f9eef5995c16310a3176af8)] -> xpath: //h1[@class='inner-banner__title']]
2020-04-26 14:04:676 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-26 15:04:293 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-26 15:04:307 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-26 15:04:821 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-26 15:04:939 INFO  HomePage :40 - Clicking on close button : [[ChromeDriver: chrome on WINDOWS (c0ed373f01e0df02b2919b2849a2fcac)] -> xpath: //button[@class="modal__close js-modal-close"]]
2020-04-26 15:04:302 INFO  HomePage :34 - Clicking On About Us Link[[ChromeDriver: chrome on WINDOWS (c0ed373f01e0df02b2919b2849a2fcac)] -> link text: About us]
